start,finish,energy,point_id,vehicle_id,payment_id,pricing_id
'2018-04-25 11:08:04','2018-04-25 13:21:10',7.932,20004,47,2,2
'2018-04-25 13:45:10','2018-04-25 16:44:15',10.013,16134,40,2,1
'2018-04-25 13:45:50','2018-04-25 14:51:44',5.257,314,67,1,2
'2018-04-25 14:37:06','2018-04-25 16:05:22',5.177,20053,22,2,1
'2018-04-25 14:40:34','2018-04-25 17:40:30',10.119,3324,26,2,2
'2018-04-25 14:43:50','2018-04-25 16:18:28',7.91,318,85,1,3
'2018-04-25 14:47:42','2018-04-25 18:27:42',15.294,330,52,1,3
'2018-04-25 14:58:25','2018-04-25 16:48:29',6.953,190,53,1,2
'2018-04-25 15:10:52','2018-04-25 16:07:56',2.174,259,50,1,1
'2018-04-25 15:12:11','2018-04-25 18:30:20',2.439,3415,14,2,2
'2018-04-25 15:14:06','2018-04-25 18:33:20',6.955,26375,73,1,2
'2018-04-25 15:14:41','2018-04-25 16:18:11',3.249,21073,15,1,3
'2018-04-25 15:14:49','2018-04-25 16:42:00',2.72,20053,81,2,3
'2018-04-25 15:20:56','2018-04-25 16:07:41',2.575,52475,27,2,1
'2018-04-25 15:30:31','2018-04-25 18:54:57',5.4,22503,67,2,3
'2018-04-25 15:31:42','2018-04-25 18:26:57',4.929,146500,43,2,1
'2018-04-25 15:33:45','2018-04-25 17:49:46',4.043,6951,34,1,1
'2018-04-25 15:44:42','2018-04-25 17:40:09',2.49,73441,36,1,3
'2018-04-25 15:48:23','2018-04-25 18:06:06',5.95,21046,88,2,1
'2018-04-25 15:51:21','2018-04-25 17:56:52',4.474,317,44,2,3
'2018-04-25 15:53:29','2018-04-25 19:55:15',6.531,6663,64,2,3
'2018-04-25 15:57:29','2018-04-25 18:23:12',6.023,277,83,1,2
'2018-04-25 15:59:24','2018-04-25 18:27:10',9.553,20577,63,2,3
'2018-04-25 16:01:26','2018-04-26 00:14:16',14.693,6768,28,1,2
'2018-04-25 16:02:03','2018-04-25 17:14:25',2.207,21114,90,1,2
'2018-04-25 16:02:10','2018-04-25 19:27:51',9.153,3415,1,2,1
'2018-04-25 16:03:59','2018-04-25 22:19:58',17.446,6776,22,1,2
'2018-04-25 16:04:31','2018-04-25 18:13:16',4.548,184,44,1,1
'2018-04-25 16:25:51','2018-04-25 22:30:41',32.708,12555,91,1,3
'2018-04-25 16:38:01','2018-04-25 18:48:11',6.764,75111,9,2,3
'2018-04-25 16:52:05','2018-04-25 21:40:57',10.879,6669,69,1,1
'2018-04-25 17:06:18','2018-04-25 19:21:33',5.07,287,91,1,3
'2018-04-25 18:22:03','2018-04-26 01:41:10',6.337,20514,75,1,2
'2018-04-25 18:47:12','2018-04-25 19:36:31',2.375,16161,33,1,2
'2018-04-25 19:32:05','2018-04-25 21:47:47',6.523,3991,17,1,2
'2018-04-25 19:33:01','2018-04-25 20:25:58',2.203,20999,5,1,3
'2018-04-25 19:40:02','2018-04-25 22:07:12',7.738,3326,32,1,3
'2018-04-25 19:41:42','2018-04-25 23:12:06',12.94,6663,35,2,2
'2018-04-25 19:43:13','2018-04-26 00:56:17',14.328,12498,5,2,1
'2018-04-25 20:14:50','2018-04-25 23:28:12',4.189,109090,75,1,1
'2018-04-25 20:30:49','2018-04-25 21:05:52',0.829,281,88,1,3
'2018-04-25 21:57:42','2018-04-26 03:07:23',27.743,317,38,2,2
'2018-04-25 22:17:32','2018-04-26 01:13:17',12.692,21057,84,2,3
'2018-04-25 22:42:48','2018-04-25 23:18:46',1.304,318,65,1,2
'2018-04-26 00:02:16','2018-04-26 02:00:58',11.466,146500,39,2,2
'2018-04-26 00:03:03','2018-04-26 03:32:19',11.695,330,43,2,3
'2018-04-26 00:05:36','2018-04-26 00:30:52',2.87,22503,58,2,3
'2018-04-26 00:07:10','2018-04-26 01:16:50',2.264,6664,79,1,3
'2018-04-26 01:21:28','2018-04-26 09:20:00',1.02,20053,90,1,3
'2018-04-26 01:40:29','2018-04-26 02:32:53',5.023,21057,37,1,1
'2018-04-26 01:48:55','2018-04-26 03:18:33',8.693,91342,73,1,2
'2018-04-26 01:49:57','2018-04-26 02:41:30',4.915,3324,1,2,2
'2018-04-26 02:17:10','2018-04-26 04:29:34',13.892,20558,20,1,1
'2018-04-26 02:25:14','2018-04-26 02:36:19',1.155,20600,63,2,1
'2018-04-26 02:36:02','2018-04-26 04:34:34',11.891,20597,90,1,3
'2018-04-26 02:49:57','2018-04-26 04:00:57',6.956,26375,31,1,2
'2018-04-26 03:07:04','2018-04-26 03:29:55',2.568,20623,57,1,2
'2018-04-26 03:13:44','2018-04-26 05:32:35',6.503,73441,87,2,1
'2018-04-26 03:33:58','2018-04-26 04:46:04',2.272,21011,70,2,1
'2018-04-26 06:20:56','2018-04-26 14:08:56',13.926,6663,45,1,1
'2018-04-26 11:31:17','2018-04-26 12:51:30',4.632,20382,55,2,3
'2018-04-26 13:25:08','2018-04-26 16:53:27',12.138,20514,62,1,3
'2018-04-26 13:54:17','2018-04-26 23:07:12',7.108,20678,86,1,2
'2018-04-26 14:47:08','2018-04-27 00:14:02',13.155,20577,40,2,1
'2018-04-26 14:59:44','2018-04-26 16:09:28',7.186,21114,25,2,1
'2018-04-26 15:05:16','2018-04-26 16:06:18',2.354,109090,22,2,2
'2018-04-26 15:05:56','2018-04-26 17:09:59',13.413,21057,23,1,2
'2018-04-26 15:27:50','2018-04-26 16:32:25',6.14,6663,29,2,3
'2018-04-26 15:28:15','2018-04-26 19:00:07',6.087,331,28,2,1
'2018-04-26 15:45:26','2018-04-26 17:48:13',6.298,20407,5,2,2
'2018-04-26 15:46:05','2018-04-26 16:55:21',4.182,253379,74,1,3
'2018-04-26 15:46:33','2018-04-26 17:17:18',4.846,20412,91,1,3
'2018-04-26 15:47:39','2018-04-26 16:40:35',2.65,3968,79,2,2
'2018-04-26 15:55:18','2018-04-26 17:05:02',2.997,253379,59,1,1
'2018-04-26 15:56:04','2018-04-26 16:55:02',2.68,20623,91,2,2
'2018-04-26 15:57:16','2018-04-26 17:59:37',3.54,287,80,2,1
'2018-04-26 15:59:53','2018-04-26 16:44:39',1.916,20558,1,1,1
'2018-04-26 16:01:29','2018-04-26 17:33:17',2.757,6664,64,1,2
'2018-04-26 16:01:58','2018-04-26 19:20:10',10.248,292,58,2,1
'2018-04-26 16:07:42','2018-04-27 00:28:37',14.0,15627,88,1,2
'2018-04-26 16:09:35','2018-04-26 23:49:35',14.01,20650,65,1,3
'2018-04-26 16:20:52','2018-04-26 18:24:24',6.709,133929,49,1,2
'2018-04-26 16:21:31','2018-04-27 03:18:29',25.981,322,79,1,1
'2018-04-26 16:38:47','2018-04-26 18:37:00',4.263,331,4,1,3
'2018-04-26 16:41:12','2018-04-26 19:26:14',5.723,20577,6,1,1
'2018-04-26 16:53:04','2018-04-26 18:25:40',4.384,21014,38,2,1
'2018-04-26 16:58:21','2018-04-27 00:22:10',9.914,21014,42,1,1
'2018-04-26 17:08:18','2018-04-27 00:56:59',10.411,6668,38,2,3
'2018-04-26 17:11:27','2018-04-26 20:40:26',9.026,133929,37,2,3
'2018-04-26 17:15:26','2018-04-26 21:23:13',14.422,331,91,2,2
'2018-04-26 17:26:50','2018-04-26 20:43:34',18.861,3415,65,1,2
'2018-04-26 17:39:42','2018-04-26 19:07:32',5.728,3324,46,1,2
'2018-04-26 18:43:12','2018-04-26 19:51:48',2.528,259,85,2,3
'2018-04-26 19:38:28','2018-04-27 00:01:06',2.628,21011,90,2,3
'2018-04-26 20:17:40','2018-04-26 20:52:09',1.306,20101,43,2,1
'2018-04-26 20:27:49','2018-04-26 21:05:07',1.801,20678,73,2,1
'2018-04-26 21:02:30','2018-04-26 22:51:42',5.576,20053,7,1,2
'2018-04-26 21:18:45','2018-04-27 01:09:24',16.0,20673,69,1,2
'2018-04-26 23:04:49','2018-04-26 23:32:07',0.852,329,7,1,2
'2018-04-27 01:17:43','2018-04-27 01:51:00',1.829,317,60,2,3
'2018-04-27 01:22:57','2018-04-27 17:43:11',13.927,330,59,1,1
'2018-04-27 01:40:52','2018-04-27 03:53:16',13.872,20678,8,2,2
'2018-04-27 01:50:34','2018-04-27 02:47:02',5.654,6669,64,1,2
'2018-04-27 02:04:43','2018-04-27 03:24:02',2.558,6951,21,2,2
'2018-04-27 03:10:05','2018-04-27 05:09:39',6.417,20321,47,2,2
'2018-04-27 03:29:59','2018-04-27 04:19:06',5.56,281,81,1,1
'2018-04-27 05:06:13','2018-04-27 05:25:43',0.546,73441,57,1,2
'2018-04-27 13:16:28','2018-04-28 01:10:09',11.323,133928,3,2,2
'2018-04-27 14:14:39','2018-04-27 15:24:19',3.981,108814,11,2,1
'2018-04-27 14:41:42','2018-04-27 18:35:58',17.634,176880,6,2,3
'2018-04-27 15:00:26','2018-04-27 23:47:24',7.288,20623,45,2,1
'2018-04-27 15:09:06','2018-04-27 17:07:50',6.236,3327,62,2,2
'2018-04-27 15:09:39','2018-04-27 16:35:56',9.3,21064,64,2,2
'2018-04-27 15:14:35','2018-04-27 16:12:35',2.945,180674,56,2,2
'2018-04-27 15:15:12','2018-04-27 17:11:23',4.85,20407,22,1,2
'2018-04-27 15:16:03','2018-04-27 20:11:20',10.978,322,19,1,2
'2018-04-27 15:19:27','2018-04-27 16:28:32',3.846,317,48,2,3
'2018-04-27 15:27:27','2018-04-27 19:45:29',19.124,20573,58,2,3
'2018-04-27 15:31:38','2018-04-27 16:39:35',3.259,20303,27,1,2
'2018-04-27 15:42:36','2018-04-27 20:35:54',13.972,20407,14,2,3
'2018-04-27 16:19:01','2018-04-27 21:26:10',16.95,20573,28,1,1
'2018-04-27 16:25:09','2018-04-27 19:19:55',6.444,21046,75,1,2
'2018-04-27 16:27:57','2018-04-27 18:26:41',9.064,6666,68,2,2
'2018-04-27 16:28:35','2018-04-27 19:26:02',9.67,20597,81,1,3
'2018-04-27 16:37:18','2018-04-27 21:56:14',30.553,20531,24,1,1
'2018-04-27 16:38:52','2018-04-27 18:06:32',2.485,20001,54,2,2
'2018-04-27 16:43:29','2018-04-27 17:51:26',2.219,3415,13,1,2
'2018-04-27 16:47:18','2018-04-27 18:11:41',5.606,21073,78,2,2
'2018-04-27 16:51:19','2018-04-27 19:06:52',5.805,73817,74,2,2
'2018-04-27 16:56:15','2018-04-27 21:38:18',11.729,20558,33,1,1
'2018-04-27 17:03:53','2018-04-27 19:25:56',11.831,21046,74,2,3
'2018-04-27 17:10:25','2018-04-27 20:20:34',15.894,26375,51,1,3
'2018-04-27 17:19:02','2018-04-27 21:14:50',9.823,73441,58,2,2
'2018-04-27 17:26:41','2018-04-27 18:11:45',1.832,20785,88,2,1
'2018-04-27 17:32:30','2018-04-27 21:57:18',21.669,311,75,1,3
'2018-04-27 18:17:36','2018-04-28 00:30:23',1.759,21073,19,1,2
'2018-04-27 18:18:21','2018-04-27 23:57:03',2.531,21022,71,2,1
'2018-04-27 18:32:36','2018-04-27 20:06:34',2.848,143775,22,1,2
'2018-04-27 19:59:49','2018-04-27 22:31:26',13.871,334,27,2,3
'2018-04-27 20:15:40','2018-04-27 22:21:06',6.523,91342,59,2,3
'2018-04-27 20:29:42','2018-04-27 21:04:26',1.158,21064,34,2,3
'2018-04-27 21:25:00','2018-04-27 23:40:05',11.337,282,81,2,2
'2018-04-27 22:46:32','2018-04-28 00:21:39',10.577,6776,45,2,2
'2018-04-28 00:14:16','2018-04-28 04:29:47',12.49,20053,64,2,3
'2018-04-28 00:26:33','2018-04-28 04:57:21',15.432,20412,76,2,1
'2018-04-28 00:34:19','2018-04-28 02:44:19',13.31,73441,71,2,2
'2018-04-28 00:54:21','2018-04-28 02:16:57',4.254,331,9,2,3
'2018-04-28 01:31:06','2018-04-28 04:20:01',13.191,12601,63,2,3
'2018-04-28 01:39:36','2018-04-28 06:00:32',14.102,6666,13,1,2
'2018-04-28 01:45:55','2018-04-28 03:01:06',4.002,108814,22,2,1
'2018-04-28 02:01:09','2018-04-28 18:30:41',14.268,3323,42,1,2
'2018-04-28 03:15:17','2018-04-28 04:39:29',4.229,292,61,1,2
'2018-04-28 03:32:07','2018-04-28 19:53:28',39.897,176880,50,1,3
'2018-04-28 03:49:38','2018-04-28 05:52:30',6.419,6768,19,2,1
'2018-04-28 04:10:59','2018-04-28 20:32:12',41.924,21064,75,2,1
'2018-04-28 04:33:52','2018-04-28 08:00:54',11.873,3327,84,2,3
'2018-04-28 05:00:56','2018-04-28 17:10:11',33.381,15689,49,1,3
'2018-04-28 06:02:40','2018-04-28 08:48:22',16.741,3324,61,1,2
'2018-04-28 12:30:38','2018-04-28 14:07:05',5.652,3873,67,1,2
'2018-04-28 13:08:46','2018-04-28 13:29:15',2.284,20407,72,2,1
'2018-04-28 14:03:42','2018-04-28 14:53:27',1.581,253379,26,1,3
'2018-04-28 14:51:33','2018-04-28 16:50:49',13.508,253379,90,1,3
'2018-04-28 15:17:54','2018-04-28 16:51:57',5.275,6951,18,1,2
'2018-04-28 15:43:56','2018-04-28 18:32:31',18.737,12628,51,1,2
'2018-04-28 16:06:31','2018-04-28 17:07:42',3.537,3873,23,1,3
'2018-04-28 16:49:44','2018-04-28 18:51:29',3.242,6670,86,1,3
'2018-04-28 17:04:52','2018-04-28 20:06:14',17.61,312,34,1,3
'2018-04-28 17:22:23','2018-04-28 19:41:05',13.915,6669,33,2,1
'2018-04-28 17:46:54','2018-04-28 18:58:06',7.292,318,63,1,1
'2018-04-28 18:10:26','2018-04-28 19:24:34',8.469,12555,32,1,1
'2018-04-28 18:17:44','2018-04-28 19:48:30',8.968,334,7,1,3
'2018-04-28 18:20:11','2018-04-28 19:40:57',4.445,20101,62,1,1
'2018-04-28 18:27:39','2018-04-29 00:29:24',40.111,333,28,2,2
'2018-04-28 18:34:01','2018-04-28 22:12:00',12.963,73817,18,2,2
'2018-04-28 18:47:51','2018-04-28 21:08:59',13.913,3323,17,1,3
'2018-04-28 19:04:50','2018-04-28 20:50:27',5.99,3415,87,1,1
'2018-04-28 19:41:57','2018-04-28 21:56:09',13.909,20785,84,2,1
'2018-04-28 20:13:03','2018-04-28 20:29:06',1.745,26375,81,1,3
'2018-04-28 20:31:30','2018-04-28 20:51:35',2.27,314,19,1,1
'2018-04-28 21:17:00','2018-04-29 00:14:43',19.538,331,21,2,3
'2018-04-28 23:02:45','2018-04-29 01:18:50',6.942,15627,30,2,2
'2018-04-28 23:41:00','2018-04-29 04:02:12',13.914,6768,53,1,2
'2018-04-29 00:06:57','2018-04-29 06:15:12',40.858,20616,9,1,1
'2018-04-29 00:27:02','2018-04-29 03:52:24',12.102,20382,57,1,3
'2018-04-29 02:04:16','2018-04-29 03:09:09',6.142,12628,90,1,2
'2018-04-29 02:36:09','2018-04-29 04:36:40',13.619,20616,8,2,2
'2018-04-29 04:15:10','2018-04-29 05:12:14',5.355,73817,82,2,1
'2018-04-29 05:42:04','2018-04-29 13:00:22',17.25,143775,6,2,2
'2018-04-29 16:26:36','2018-04-29 17:40:20',4.026,6670,9,1,3
'2018-04-29 17:25:14','2018-04-29 20:09:00',8.838,20785,13,2,1
'2018-04-29 17:59:14','2018-04-29 19:28:25',10.047,20053,39,2,1
'2018-04-29 18:30:36','2018-04-29 21:46:26',13.595,6664,69,2,3
'2018-04-29 18:32:13','2018-04-29 20:00:53',8.13,143775,35,2,2
'2018-04-29 18:36:13','2018-04-29 21:52:17',11.632,20608,81,1,3
'2018-04-29 18:40:51','2018-04-29 18:46:58',0.644,12555,11,1,2
'2018-04-29 18:47:15','2018-04-29 23:08:23',28.647,166575,73,2,2
'2018-04-29 18:53:39','2018-04-29 21:28:55',13.919,73817,54,2,1
'2018-04-29 19:32:58','2018-04-29 21:20:21',11.826,21019,66,1,3
'2018-04-29 20:09:21','2018-04-29 20:45:59',3.99,329,31,1,2
'2018-04-29 20:26:33','2018-04-29 21:45:13',8.84,3968,47,1,1
'2018-04-29 20:27:25','2018-04-29 20:39:41',1.16,20531,14,2,1
'2018-04-29 21:02:34','2018-04-30 02:55:43',13.927,44239,81,1,2
'2018-04-29 21:22:44','2018-04-29 21:40:12',1.909,6670,36,2,3
'2018-04-29 21:28:04','2018-04-29 23:56:26',13.904,184,56,2,1
'2018-04-29 21:47:40','2018-04-29 23:34:19',4.767,24727,62,2,3
'2018-04-29 22:00:37','2018-04-29 22:41:55',2.303,21058,34,1,3
'2018-04-29 22:40:54','2018-04-30 02:48:53',25.761,20588,88,1,3
'2018-04-29 23:10:58','2018-04-30 02:27:51',2.684,6951,45,2,1
'2018-04-29 23:44:39','2018-04-30 03:31:34',13.076,15689,22,1,2
'2018-04-29 23:53:59','2018-04-30 00:26:17',3.504,21064,34,1,2
'2018-04-30 00:32:15','2018-04-30 04:32:53',13.91,20764,1,2,1
'2018-04-30 00:32:40','2018-04-30 01:18:48',2.552,12601,64,1,3
'2018-04-30 00:40:53','2018-04-30 02:53:19',13.853,6664,85,2,1
'2018-04-30 00:52:53','2018-04-30 01:40:49',1.544,20412,9,1,3
'2018-04-30 02:19:40','2018-04-30 02:54:47',3.811,20294,9,1,1
'2018-04-30 03:42:53','2018-04-30 06:41:15',10.44,20407,50,1,3
'2018-04-30 06:56:41','2018-04-30 12:32:58',13.016,318,50,1,3
'2018-04-30 13:21:35','2018-04-30 14:22:43',3.51,146500,68,1,2
'2018-04-30 13:55:57','2018-04-30 15:52:03',10.083,20616,37,2,2
'2018-04-30 14:56:42','2018-04-30 18:05:58',10.81,166575,27,2,3
'2018-04-30 15:04:34','2018-04-30 17:03:22',6.249,21022,89,2,2
'2018-04-30 15:07:26','2018-04-30 18:36:25',16.386,20650,13,2,2
'2018-04-30 15:07:49','2018-05-01 00:27:51',47.808,20597,53,1,1
'2018-04-30 15:13:47','2018-04-30 16:14:44',3.566,12604,5,1,3
'2018-04-30 15:13:48','2018-04-30 16:58:47',5.326,20413,32,1,2
'2018-04-30 15:14:18','2018-04-30 16:15:37',1.948,330,33,2,3
'2018-04-30 15:26:12','2018-04-30 17:01:46',6.962,20608,85,2,3
'2018-04-30 15:32:40','2018-04-30 19:03:10',4.761,44239,91,2,1
'2018-04-30 15:34:27','2018-04-30 17:34:42',4.451,287,43,2,2
'2018-04-30 15:36:43','2018-04-30 18:06:04',5.494,20623,39,1,1
'2018-04-30 15:38:58','2018-04-30 17:12:37',5.453,6776,39,2,2
'2018-04-30 15:47:29','2018-04-30 17:46:33',6.124,127818,41,1,2
'2018-04-30 15:47:36','2018-05-01 00:31:53',2.69,12628,35,2,2
'2018-04-30 15:59:08','2018-04-30 19:33:22',10.51,21120,6,1,3
'2018-04-30 16:00:56','2018-04-30 17:20:19',2.575,312,47,2,2
'2018-04-30 16:06:02','2018-04-30 20:07:32',8.189,20999,74,1,1
'2018-04-30 16:09:14','2018-04-30 17:52:46',5.206,253379,14,2,2
'2018-04-30 16:31:30','2018-04-30 22:48:05',12.332,232177,36,1,3
'2018-04-30 16:44:10','2018-05-01 01:20:21',15.947,3324,40,1,1
'2018-04-30 16:51:36','2018-04-30 18:25:41',3.354,21014,33,1,1
'2018-04-30 17:25:34','2018-04-30 19:56:41',14.355,3415,81,1,1
'2018-04-30 17:30:28','2018-04-30 20:41:55',20.865,6668,6,2,2
'2018-04-30 17:33:01','2018-05-01 00:35:16',8.331,16161,23,1,3
'2018-04-30 17:42:24','2018-04-30 18:43:40',1.93,20558,9,2,3
'2018-04-30 17:52:21','2018-04-30 23:39:51',15.629,20678,85,2,2
'2018-04-30 18:45:38','2018-04-30 18:46:27',0.586,109090,38,1,3
'2018-04-30 19:02:14','2018-05-01 01:57:39',2.554,133928,40,1,1
'2018-04-30 19:37:54','2018-04-30 21:44:15',6.878,20552,66,1,1
'2018-04-30 19:53:33','2018-04-30 20:40:58',1.308,146500,85,1,3
'2018-04-30 20:29:50','2018-04-30 23:41:08',8.494,328,41,2,3
'2018-04-30 20:50:42','2018-04-30 21:20:42',0.923,20785,17,1,2
'2018-04-30 21:06:42','2018-05-01 01:21:00',13.975,20053,58,2,2
'2018-04-30 21:10:09','2018-04-30 22:00:15',2.334,91283,49,2,3
'2018-04-30 21:18:08','2018-04-30 22:15:22',4.14,20101,69,1,1
'2018-04-30 22:32:52','2018-04-30 23:09:03',1.813,21011,38,1,3
'2018-04-30 22:41:33','2018-04-30 23:19:07',1.842,20004,81,2,3
'2018-04-30 23:19:28','2018-05-01 00:56:23',4.824,281,59,1,2
'2018-05-01 00:31:56','2018-05-01 02:10:50',5.777,21041,35,1,3
'2018-05-01 00:43:31','2018-05-01 04:21:02',12.846,15627,80,2,1
'2018-05-01 01:00:22','2018-05-01 06:11:29',13.932,3415,79,2,3
'2018-05-01 01:14:27','2018-05-01 01:22:27',0.801,190,25,2,2
'2018-05-01 01:27:39','2018-05-01 01:45:30',1.868,20785,12,1,1
'2018-05-01 01:31:03','2018-05-01 02:09:33',1.851,86,16,1,2
'2018-05-01 01:35:22','2018-05-01 03:11:47',10.868,20001,31,2,2
'2018-05-01 01:48:07','2018-05-01 03:16:46',9.055,21011,38,2,3
'2018-05-01 02:10:29','2018-05-01 03:21:05',7.06,20673,13,1,2
'2018-05-01 03:08:47','2018-05-01 05:08:54',6.505,3324,64,2,3
'2018-05-01 04:55:59','2018-05-01 19:32:11',23.007,334,15,2,3
'2018-05-01 05:44:03','2018-05-01 15:24:27',13.91,15627,47,1,2
'2018-05-01 13:23:18','2018-05-01 17:17:07',13.41,166575,72,2,2
'2018-05-01 13:54:34','2018-05-01 15:35:39',8.618,15689,49,2,1
'2018-05-01 14:46:04','2018-05-01 23:57:02',13.969,6664,31,1,3
'2018-05-01 14:56:29','2018-05-01 16:07:56',6.914,20382,4,2,3
'2018-05-01 15:14:50','2018-05-01 20:18:12',13.785,20623,52,1,2
'2018-05-01 15:21:17','2018-05-01 15:34:52',0.618,282,65,1,3
'2018-05-01 15:21:34','2018-05-01 18:25:43',14.112,20294,36,2,2
'2018-05-01 15:21:52','2018-05-02 01:27:12',1.051,3323,38,1,3
'2018-05-01 15:22:40','2018-05-01 17:20:52',6.102,109090,33,1,1
'2018-05-01 15:28:52','2018-05-01 18:16:47',8.063,3415,27,1,1
'2018-05-01 15:35:21','2018-05-01 16:42:38',2.854,21022,89,2,1
'2018-05-01 15:40:10','2018-05-01 18:02:25',4.987,20573,79,1,1
'2018-05-01 15:40:44','2018-05-01 17:25:25',4.56,20597,8,2,2
'2018-05-01 15:41:08','2018-05-01 17:22:55',3.562,333,56,1,1
'2018-05-01 15:41:44','2018-05-01 17:26:59',3.371,12628,47,1,1
'2018-05-01 16:00:33','2018-05-01 18:59:54',8.657,3415,41,1,3
'2018-05-01 16:02:22','2018-05-01 17:07:42',3.058,20588,28,1,2
'2018-05-01 16:09:03','2018-05-01 23:39:31',24.716,20650,19,2,1
'2018-05-01 16:10:59','2018-05-01 23:16:42',21.525,180674,44,1,2
'2018-05-01 16:18:17','2018-05-01 17:51:41',2.597,6668,66,2,1
'2018-05-01 16:18:54','2018-05-02 00:26:07',28.691,20600,76,2,2
'2018-05-01 16:20:24','2018-05-01 18:58:36',7.899,20558,37,2,2
'2018-05-01 16:25:35','2018-05-01 19:22:58',6.91,20608,45,2,1
'2018-05-01 16:36:38','2018-05-01 20:39:46',10.386,16134,22,1,3
'2018-05-01 16:52:54','2018-05-01 19:11:06',7.799,312,42,1,1
'2018-05-01 16:58:54','2018-05-01 23:54:46',11.304,292,32,1,3
'2018-05-01 17:09:09','2018-05-01 18:46:19',1.943,12498,1,1,2
'2018-05-01 17:11:32','2018-05-01 20:09:58',7.053,20597,71,2,1
'2018-05-01 17:28:59','2018-05-01 23:42:19',10.43,166575,25,2,2
'2018-05-01 17:47:29','2018-05-01 20:06:13',12.588,3415,84,2,1
'2018-05-01 17:51:44','2018-05-01 22:51:27',12.411,334,45,2,3
'2018-05-01 18:01:21','2018-05-01 19:42:05',2.162,20588,3,2,2
'2018-05-01 18:17:12','2018-05-01 21:45:20',9.742,127818,38,1,3
'2018-05-01 19:33:50','2018-05-01 22:40:44',9.951,6951,19,1,3
'2018-05-01 19:41:01','2018-05-01 22:00:15',6.671,232177,51,2,3
'2018-05-01 20:07:55','2018-05-02 02:52:20',2.616,21046,45,1,2
'2018-05-01 20:12:26','2018-05-01 22:19:38',6.494,20377,30,2,3
'2018-05-01 20:27:35','2018-05-01 20:58:34',1.374,20616,30,1,3
'2018-05-01 23:12:11','2018-05-02 01:31:21',6.661,277,34,2,3
'2018-05-02 00:06:47','2018-05-02 01:01:13',2.406,6758,74,2,2
'2018-05-02 00:42:36','2018-05-02 00:58:44',1.117,6666,57,2,2
'2018-05-02 01:46:00','2018-05-02 12:19:39',13.95,146500,33,1,1
'2018-05-02 01:49:08','2018-05-02 02:56:31',6.685,6758,87,2,1
'2018-05-02 01:57:30','2018-05-02 06:40:11',16.344,133928,12,2,2
'2018-05-02 02:02:40','2018-05-02 02:46:55',4.662,21058,62,2,1
'2018-05-02 02:21:35','2018-05-02 05:46:14',13.869,20552,68,1,1
'2018-05-02 02:43:08','2018-05-02 15:09:55',16.084,21094,37,1,1
'2018-05-02 02:51:35','2018-05-02 04:11:50',2.563,73441,55,2,2
'2018-05-02 03:05:26','2018-05-02 05:08:35',6.457,143775,58,2,3
'2018-05-02 03:12:17','2018-05-02 07:13:30',10.205,20445,28,2,3
'2018-05-02 04:06:37','2018-05-02 05:15:58',7.9,26375,23,1,2
'2018-05-02 04:56:29','2018-05-02 14:03:42',13.828,20514,52,1,3
'2018-05-02 13:25:56','2018-05-02 14:36:35',4.053,3323,68,2,1
'2018-05-02 13:57:22','2018-05-02 14:28:53',3.216,180674,10,1,1
'2018-05-02 14:21:46','2018-05-02 18:09:08',11.507,20053,70,1,1
'2018-05-02 14:36:15','2018-05-03 00:49:02',13.985,20407,4,1,2
'2018-05-02 14:36:28','2018-05-02 18:27:36',10.541,324,16,2,2
'2018-05-02 14:46:19','2018-05-02 23:09:19',9.289,86,62,1,3
'2018-05-02 14:59:42','2018-05-03 00:02:37',7.312,253379,62,2,3
'2018-05-02 15:00:55','2018-05-02 16:08:19',2.713,20660,70,1,3
'2018-05-02 15:14:06','2018-05-02 19:30:19',11.865,20375,91,2,1
'2018-05-02 15:15:17','2018-05-02 18:13:40',11.489,176880,36,1,3
'2018-05-02 15:16:00','2018-05-02 23:15:10',13.91,75111,4,1,1
